                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3859,                 2.7586,                 4.1277,                 1.3932,                0.64748,                0.14975,                0.11448,                0.06878,                0.63603,                0.13472,                0.09644,                0.04847,                 1.3984,                 2.5135,                  2.722,                 1.3066,             0.00012799,             0.00012799,             0.00012799
                      2,                 1.2551,                 2.2673,                 3.0483,                 1.3031,                0.53704,                0.17786,                0.16866,                0.10967,                0.55496,                0.16539,                0.16529,                0.08738,                 1.3452,                 2.3277,                 2.4442,                  1.283,             0.00023095,             0.00023095,             0.00023095
                      3,                 1.2064,                 2.1394,                 2.5615,                 1.2786,                0.43194,                0.26796,                0.22046,                0.14674,                0.44169,                0.26207,                0.21573,                0.12006,                  1.341,                 2.3815,                 2.2454,                 1.2695,             0.00030849,             0.00030849,             0.00030849
                      4,                 1.1562,                 2.0452,                 2.1592,                 1.2386,                0.47564,                0.27242,                0.26526,                0.17706,                0.46213,                0.25763,                0.25027,                0.13579,                 1.2907,                 2.3629,                 2.0858,                 1.2363,             0.00027065,             0.00027065,             0.00027065
                      5,                 1.1158,                 1.9514,                 1.8884,                 1.2068,                0.60661,                0.28306,                0.30796,                0.20634,                0.60186,                0.27476,                0.29491,                0.16573,                 1.2686,                 2.1506,                 1.9241,                 1.2272,             0.00027065,             0.00027065,             0.00027065
                      6,                 1.0757,                 1.8796,                 1.6486,                 1.1795,                0.39306,                0.36216,                0.34621,                0.23417,                0.42316,                0.31618,                 0.3292,                0.18576,                 1.2551,                 2.1186,                 1.9044,                 1.2329,             0.00023254,             0.00023254,             0.00023254
                      7,                  1.023,                 1.7982,                 1.4514,                 1.1484,                0.61186,                0.37458,                0.39992,                0.27486,                0.60534,                0.36731,                0.37983,                0.21918,                 1.2095,                 2.0105,                 1.7006,                 1.2006,             0.00019442,             0.00019442,             0.00019442
                      8,                0.98234,                 1.7322,                 1.2854,                 1.1181,                0.62538,                0.41506,                0.43432,                 0.3034,                0.61225,                0.39798,                0.41487,                0.23688,                 1.1963,                 2.0269,                  1.638,                 1.1696,             0.00015631,             0.00015631,             0.00015631
                      9,                0.93955,                  1.657,                 1.1881,                 1.0944,                0.50869,                0.46911,                0.46127,                0.32252,                0.58735,                0.41355,                0.44095,                0.25118,                 1.1777,                 2.0196,                 1.5509,                 1.1583,              0.0001182,              0.0001182,              0.0001182
                     10,                0.90725,                 1.6109,                 1.0799,                 1.0751,                0.65028,                0.47717,                0.49404,                0.34379,                0.59597,                0.44531,                0.46421,                 0.2663,                 1.1354,                 1.9816,                 1.4986,                 1.1478,              8.008e-05,              8.008e-05,              8.008e-05
