                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3095,                 2.5491,                 3.7547,                 1.3508,                0.38994,                0.21393,                0.16805,                0.11392,                0.46705,                0.18479,                0.15861,                0.09219,                 1.3456,                 2.5244,                 2.3012,                 1.3046,             0.00012799,             0.00012799,             0.00012799
                      2,                 1.2224,                 2.1532,                 2.0356,                 1.2877,                0.37404,                0.24464,                0.22403,                0.13522,                0.35839,                0.25385,                0.21185,                0.10923,                 1.3965,                 2.4528,                 2.1374,                 1.3556,             0.00023095,             0.00023095,             0.00023095
                      3,                 1.1902,                 2.0402,                 1.7473,                 1.2681,                0.41842,                0.30397,                0.29549,                0.19645,                0.45861,                 0.2934,                0.27973,                0.16092,                 1.3275,                 2.3003,                 2.0462,                 1.2933,             0.00030849,             0.00030849,             0.00030849
                      4,                 1.1306,                 1.9488,                 1.5007,                 1.2298,                0.54966,                0.31211,                0.36222,                0.23999,                0.55473,                0.29612,                0.34417,                0.18771,                 1.2851,                 2.2401,                 1.7878,                 1.2528,             0.00027065,             0.00027065,             0.00027065
                      5,                  1.087,                 1.8578,                 1.3096,                 1.1925,                0.48991,                0.39041,                0.39935,                0.25913,                0.50234,                0.35922,                0.36914,                 0.2004,                 1.2622,                 2.1724,                 1.6523,                 1.2258,             0.00027065,             0.00027065,             0.00027065
                      6,                 1.0184,                 1.7544,                 1.1406,                 1.1541,                0.56561,                0.40699,                0.45338,                0.31288,                0.54189,                0.40486,                0.43929,                0.25084,                 1.1939,                 2.0174,                 1.5336,                 1.1999,             0.00023254,             0.00023254,             0.00023254
                      7,                  0.976,                 1.6689,                0.99992,                 1.1264,                0.66598,                0.45407,                0.52133,                0.35379,                0.59803,                0.45601,                0.49237,                0.27647,                 1.1663,                  1.963,                 1.3853,                 1.1607,             0.00019442,             0.00019442,             0.00019442
                      8,                0.92557,                 1.6081,                0.87887,                 1.0932,                0.63499,                0.49406,                0.52291,                0.35679,                0.67539,                0.47155,                0.50806,                0.29019,                 1.1412,                 1.9157,                 1.3725,                 1.1596,             0.00015631,             0.00015631,             0.00015631
                      9,                0.87573,                 1.5107,                0.78866,                  1.067,                0.69394,                0.51609,                0.57364,                  0.398,                0.67072,                0.49673,                0.54979,                0.31689,                 1.1195,                 1.8789,                 1.2645,                 1.1374,              0.0001182,              0.0001182,              0.0001182
                     10,                0.82861,                  1.453,                 0.6946,                 1.0393,                0.67734,                0.55935,                0.60139,                0.42126,                 0.6859,                0.54667,                0.57956,                 0.3297,                 1.0745,                 1.8343,                 1.2122,                 1.1261,              8.008e-05,              8.008e-05,              8.008e-05
